num,,,
50,,,
job,proc,wt,due
J1,81,7,1933
J2,61,3,2068
J3,83,4,2245
J4,1,5,1926
J5,91,1,1835
J6,68,10,1931
J7,70,5,2230
J8,36,7,2113
J9,67,9,2241
J10,95,9,2018
J11,42,10,2207
J12,4,1,2043
J13,40,4,1900
J14,92,2,2125
J15,24,10,2116
J16,12,8,1878
J17,53,1,2077
J18,46,5,1888
J19,7,5,2122
J20,57,4,2002
J21,67,2,2291
J22,89,4,1995
J23,45,3,2108
J24,26,4,2024
J25,59,3,2020
J26,90,8,2027
J27,61,6,1958
J28,98,10,2129
J29,18,4,2138
J30,61,10,2200
J31,39,2,2084
J32,41,9,2089
J33,53,1,1954
J34,52,3,2243
J35,35,10,2153
J36,15,9,2086
J37,86,4,2206
J38,58,2,2091
J39,64,8,2133
J40,70,3,2247
J41,56,6,2101
J42,9,5,2332
J43,11,4,2059
J44,47,10,1908
J45,16,9,2307
J46,80,4,2299
J47,26,8,2039
J48,77,8,2263
J49,37,5,1989
J50,85,9,2074
